adapter,engine,category,endpoint,rps,p50,p90,p975,p99,cpu_pct,rss_mb,connections,duration,repeats
pg,postgres,native-driver,point_read,6902,7,8,9,10,100,197,50,4,10
pg,postgres,native-driver,range_scan,3620,13,14,16,16.5,100,204,50,4,10
pg,postgres,native-driver,deep_fetch,3616,13,14,16,17,100,204,50,4,10
pg,postgres,native-driver,aggregation,7210,6,7,7,9.5,100,204,50,4,10
pg,postgres,native-driver,write,6375,7,8,9.5,11,100,205,50,4,10
knex,postgres,query-builder,point_read,5268,9,9,11,12,100,199,50,4,10
knex,postgres,query-builder,range_scan,3002,16,17,18,19,100,205,50,4,10
knex,postgres,query-builder,deep_fetch,2454,19,21,25,27.5,100,205,50,4,10
knex,postgres,query-builder,aggregation,5929,8,9,10,11,100,205,50,4,10
knex,postgres,query-builder,write,4655,10,10,13,13,100,207,50,4,10
drizzle,postgres,orm-lightweight,point_read,4459,10,12,13,14,100,250,50,4,10
drizzle,postgres,orm-lightweight,range_scan,2764,17,18.5,19.5,21,100,252,50,4,10
drizzle,postgres,orm-lightweight,deep_fetch,2098,23,25,26,28,100,251,50,4,10
drizzle,postgres,orm-lightweight,aggregation,6696,7,7.5,9.5,10.5,100,250,50,4,10
drizzle,postgres,orm-lightweight,write,4795,10,10.5,12,12.5,100,252,50,4,10
prisma,postgres,orm,point_read,6005,8,8,9.5,11.5,274,246,50,4,10
prisma,postgres,orm,range_scan,3697,13,15,19.5,21.5,315,257,50,4,10
prisma,postgres,orm,deep_fetch,3569,13,15,19.5,21,485,267,50,4,10
prisma,postgres,orm,aggregation,8181,5,6,8,9,189,268,50,4,10
prisma,postgres,orm,write,5652,8,8,11,11.5,290,263,50,4,10
sequelize,postgres,orm,point_read,3671,13,14,15,17,100,203,50,4,10
sequelize,postgres,orm,range_scan,2899,16,17.5,18.5,20.5,100,210,50,4,10
sequelize,postgres,orm,deep_fetch,1066,45,49,53.5,58.5,100,258,50,4,10
sequelize,postgres,orm,aggregation,4903,9,11,13.5,13.5,100,259,50,4,10
sequelize,postgres,orm,write,2718,17,19,21,21.5,100,262,50,4,10
typeorm,postgres,orm,point_read,4468,10,11,13,13,100,267,50,4,10
typeorm,postgres,orm,range_scan,2537,19,21,22,24,105,272,50,4,10
typeorm,postgres,orm,deep_fetch,1259,38,41,46,50.5,105,278,50,4,10
typeorm,postgres,orm,aggregation,6314,7,8,10,11,100,278,50,4,10
typeorm,postgres,orm,write,2622,18.5,20,21,22,100,280,50,4,10
objection,postgres,orm,point_read,3986,11,13,14,14.5,100,205,50,4,10
objection,postgres,orm,range_scan,2169,22,24,24,25.5,100,212,50,4,10
objection,postgres,orm,deep_fetch,1009,48,51,54,56,100,213,50,4,10
objection,postgres,orm,aggregation,4047,11.5,13.5,14.5,16,100,213,50,4,10
objection,postgres,orm,write,4274,11,12,13,13.5,100,218,50,4,10
mikroorm,postgres,orm,point_read,2141,22,24,25.5,27.5,100,237,50,4,10
mikroorm,postgres,orm,range_scan,676,72,74,82,263,100,256,50,4,10
mikroorm,postgres,orm,deep_fetch,579,83,88.5,102.5,357,100,262,50,4,10
mikroorm,postgres,orm,aggregation,5538,8,9,10,11,100,261,50,4,10
mikroorm,postgres,orm,write,1575,30.5,34,35.5,38.5,100,341,50,4,10
mysql2,mysql,native-driver,point_read,4377,11,11.5,15,16,105,271,50,4,10
mysql2,mysql,native-driver,range_scan,2901,16,17,23,25.5,105,293,50,4,10
mysql2,mysql,native-driver,deep_fetch,2324,20,24,26.5,31,105,293,50,4,10
mysql2,mysql,native-driver,aggregation,4302,10.5,12.5,15,17,100,293,50,4,10
mysql2,mysql,native-driver,write,932,51,53,61,94.5,25,294,50,4,10
knex,mysql,query-builder,point_read,3817,12,14,15,15.5,100,207,50,4,10
knex,mysql,query-builder,range_scan,2865,17,17,19,19,100,214,50,4,10
knex,mysql,query-builder,deep_fetch,2002,24,26,27,29.5,100,215,50,4,10
knex,mysql,query-builder,aggregation,4118,11,13,15,16.5,100,216,50,4,10
knex,mysql,query-builder,write,911,53,55,61.5,88,30,218,50,4,10
drizzle,mysql,orm-lightweight,point_read,3152,15,17,19.5,21.5,105,286,50,4,10
drizzle,mysql,orm-lightweight,range_scan,2186,21,25,27.5,31,105,298,50,4,10
drizzle,mysql,orm-lightweight,deep_fetch,1440,33,36.5,41.5,45,105,297,50,4,10
drizzle,mysql,orm-lightweight,aggregation,4277,10.5,13,15,16,105,298,50,4,10
drizzle,mysql,orm-lightweight,write,919,52,54,59.5,75,30,299,50,4,10
prisma,mysql,orm,point_read,5877,8,8,10,11,279,229,50,4,10
prisma,mysql,orm,range_scan,3659,13,14,18,21,315,248,50,4,10
prisma,mysql,orm,deep_fetch,3450,13,16,20,22,468,258,50,4,10
prisma,mysql,orm,aggregation,7697,6,8,9,10,175,259,50,4,10
prisma,mysql,orm,write,981,49,53.5,66,87,80,252,50,4,10
sequelize,mysql,orm,point_read,2887,16,18,19.5,21,100,218,50,4,10
sequelize,mysql,orm,range_scan,2481,19,21,21,21.5,100,230,50,4,10
sequelize,mysql,orm,deep_fetch,969,50,53.5,58.5,79.5,100,262,50,4,10
sequelize,mysql,orm,aggregation,3553,13,15,16.5,18,100,262,50,4,10
sequelize,mysql,orm,write,881,54,57,67,85,45,268,50,4,10
typeorm,mysql,orm,point_read,3576,13,14,15,15.5,100,218,50,4,10
typeorm,mysql,orm,range_scan,2436,20,21,21,22.5,100,222,50,4,10
typeorm,mysql,orm,deep_fetch,1145,42,44.5,48.5,51,100,229,50,4,10
typeorm,mysql,orm,aggregation,4181,11,13,14,15,100,229,50,4,10
typeorm,mysql,orm,write,836,57,63.5,76.5,102,50,231,50,4,10
objection,mysql,orm,point_read,3174,15,15.5,17.5,18,100,215,50,4,10
objection,mysql,orm,range_scan,2205,22,23,24.5,25.5,100,219,50,4,10
objection,mysql,orm,deep_fetch,829,58.5,61,63,78.5,100,220,50,4,10
objection,mysql,orm,aggregation,3173,15,17,17.5,19,100,222,50,4,10
objection,mysql,orm,write,883,54,59,67.5,110.5,35,224,50,4,10
mikroorm,mysql,orm,point_read,1801,27,28,29,29.5,100,262,50,4,10
mikroorm,mysql,orm,range_scan,627,77,79,87.5,323,100,280,50,4,10
mikroorm,mysql,orm,deep_fetch,516,93,99,107,475.5,100,287,50,4,10
mikroorm,mysql,orm,aggregation,3811,12,14,14.5,16,100,285,50,4,10
mikroorm,mysql,orm,write,747,64,71.5,85,120,70,366,50,4,10
